first_heard_EA
"80,000 Hours"
"80,000 Hours"
Doing Good Better (Book)
I don't remember
Facebook
Other (Book/article/blog post etc.)
Doing Good Better (Book)
LessWrong
"Personal Contact (e.g. friend, colleague, relative)"
Local or university EA group
Other (Book/article/blog post etc.)
"80,000 Hours"
I don't remember
"80,000 Hours"
Giving What We Can
Doing Good Better (Book)
I don't remember
Other (Book/article/blog post etc.)
GiveWell
Local or university EA group
Other (Book/article/blog post etc.)
GiveWell
"80,000 Hours"
Other (Book/article/blog post etc.)
"80,000 Hours"
Giving What We Can
EA Global
"Personal Contact (e.g. friend, colleague, relative)"
"Personal Contact (e.g. friend, colleague, relative)"
TED Talk
LessWrong
Other (Book/article/blog post etc.)
GiveWell
Giving What We Can
"Personal Contact (e.g. friend, colleague, relative)"
"80,000 Hours"
Giving What We Can
"Personal Contact (e.g. friend, colleague, relative)"
Local or university EA group
I don't remember
Giving What We Can
Other (Book/article/blog post etc.)
Facebook
Local or university EA group
Other (Book/article/blog post etc.)
LessWrong
I don't remember
I don't remember
I don't remember
"Personal Contact (e.g. friend, colleague, relative)"
Giving What We Can
I don't remember
"Personal Contact (e.g. friend, colleague, relative)"
Other (Book/article/blog post etc.)
Local or university EA group
"Personal Contact (e.g. friend, colleague, relative)"
GiveWell
Other (Book/article/blog post etc.)
I don't remember
Facebook
Other (Book/article/blog post etc.)
Other (Book/article/blog post etc.)
"80,000 Hours"
Other (Book/article/blog post etc.)
"80,000 Hours"
Other (Book/article/blog post etc.)
Search Engine
LessWrong
"Personal Contact (e.g. friend, colleague, relative)"
"Personal Contact (e.g. friend, colleague, relative)"
GiveWell
TED Talk
LessWrong
TED Talk
LessWrong
Doing Good Better (Book)
Other (Book/article/blog post etc.)
I don't remember
LessWrong
Other (Book/article/blog post etc.)
The Life You Can Save (organization)
Facebook
Giving What We Can
Other (Book/article/blog post etc.)
I don't remember
"80,000 Hours"
"80,000 Hours"
"Personal Contact (e.g. friend, colleague, relative)"
I don't remember
"Personal Contact (e.g. friend, colleague, relative)"
Giving What We Can
"80,000 Hours"
TED Talk
TED Talk
TED Talk
"80,000 Hours"
"Personal Contact (e.g. friend, colleague, relative)"
Other (Book/article/blog post etc.)
"80,000 Hours"
I don't remember
Other (Book/article/blog post etc.)
"Personal Contact (e.g. friend, colleague, relative)"
I don't remember
Other (Book/article/blog post etc.)
Other (Book/article/blog post etc.)
GiveWell
"80,000 Hours"
I don't remember
I don't remember
"Personal Contact (e.g. friend, colleague, relative)"
Doing Good Better (Book)
"Personal Contact (e.g. friend, colleague, relative)"
"80,000 Hours"
Other (Book/article/blog post etc.)
TED Talk
LessWrong
"80,000 Hours"
I don't remember
Slate Star Codex
Facebook
TED Talk
I don't remember
"Personal Contact (e.g. friend, colleague, relative)"
Doing Good Better (Book)
"Personal Contact (e.g. friend, colleague, relative)"
I don't remember
LessWrong
GiveWell
LessWrong
Search Engine
Facebook
Giving What We Can
Facebook
Other (Book/article/blog post etc.)
"Personal Contact (e.g. friend, colleague, relative)"
Other (Book/article/blog post etc.)
"Personal Contact (e.g. friend, colleague, relative)"
Doing Good Better (Book)
I don't remember
Local or university EA group
Local or university EA group
"80,000 Hours"
Doing Good Better (Book)
Other (Book/article/blog post etc.)
"80,000 Hours"
Facebook
Local or university EA group
TED Talk
EA Global
I don't remember
Doing Good Better (Book)
Local or university EA group
Other (Book/article/blog post etc.)
I don't remember
"Personal Contact (e.g. friend, colleague, relative)"
Doing Good Better (Book)
"Personal Contact (e.g. friend, colleague, relative)"
"Personal Contact (e.g. friend, colleague, relative)"
Other (Book/article/blog post etc.)
Local or university EA group
"Personal Contact (e.g. friend, colleague, relative)"
Local or university EA group
"80,000 Hours"
"Personal Contact (e.g. friend, colleague, relative)"
LessWrong
"Personal Contact (e.g. friend, colleague, relative)"
Giving What We Can
TED Talk
Other (Book/article/blog post etc.)
Other (Book/article/blog post etc.)
I don't remember
Doing Good Better (Book)
GiveWell
Other (Book/article/blog post etc.)
LessWrong
I don't remember
NA
Other (Book/article/blog post etc.)
"80,000 Hours"
"Personal Contact (e.g. friend, colleague, relative)"
Doing Good Better (Book)
Giving What We Can
LessWrong
Doing Good Better (Book)
LessWrong
TED Talk
LessWrong
"80,000 Hours"
Giving What We Can
"Personal Contact (e.g. friend, colleague, relative)"
Doing Good Better (Book)
I don't remember
Local or university EA group
GiveWell
LessWrong
Doing Good Better (Book)
Facebook
I don't remember
I don't remember
Doing Good Better (Book)
TED Talk
LessWrong
"Personal Contact (e.g. friend, colleague, relative)"
"Personal Contact (e.g. friend, colleague, relative)"
Other (Book/article/blog post etc.)
"Personal Contact (e.g. friend, colleague, relative)"
"Personal Contact (e.g. friend, colleague, relative)"
Local or university EA group
"80,000 Hours"
"80,000 Hours"
TED Talk
Other (Book/article/blog post etc.)
Other (Book/article/blog post etc.)
Facebook
"Personal Contact (e.g. friend, colleague, relative)"
I don't remember
Other (Book/article/blog post etc.)
I don't remember
LessWrong
"Personal Contact (e.g. friend, colleague, relative)"
Doing Good Better (Book)
Search Engine
Other (Book/article/blog post etc.)
"Personal Contact (e.g. friend, colleague, relative)"
"Personal Contact (e.g. friend, colleague, relative)"
"Personal Contact (e.g. friend, colleague, relative)"
Slate Star Codex
The Life You Can Save (organization)
"80,000 Hours"
Doing Good Better (Book)
EA Global
"80,000 Hours"
LessWrong
I don't remember
GiveWell
Doing Good Better (Book)
"Personal Contact (e.g. friend, colleague, relative)"
Other (Book/article/blog post etc.)
"Personal Contact (e.g. friend, colleague, relative)"
Other (Book/article/blog post etc.)
Other (Book/article/blog post etc.)
Other (Book/article/blog post etc.)
"80,000 Hours"
I don't remember
"Personal Contact (e.g. friend, colleague, relative)"
"80,000 Hours"
GiveWell
Other (Book/article/blog post etc.)
Facebook
"Personal Contact (e.g. friend, colleague, relative)"
Other (Book/article/blog post etc.)
"80,000 Hours"
I don't remember
"Personal Contact (e.g. friend, colleague, relative)"
Other (Book/article/blog post etc.)
"Personal Contact (e.g. friend, colleague, relative)"
Doing Good Better (Book)
LessWrong
Other (Book/article/blog post etc.)
Facebook
Other (Book/article/blog post etc.)
GiveWell
Animal Charity Evaluators
Other (Book/article/blog post etc.)
"80,000 Hours"
Local or university EA group
Doing Good Better (Book)
LessWrong
Other (Book/article/blog post etc.)
Other (Book/article/blog post etc.)
I don't remember
GiveWell
"80,000 Hours"
Other (Book/article/blog post etc.)
Doing Good Better (Book)
I don't remember
Other (Book/article/blog post etc.)
Other (Book/article/blog post etc.)
Other (Book/article/blog post etc.)
"80,000 Hours"
Facebook
Doing Good Better (Book)
"Personal Contact (e.g. friend, colleague, relative)"
Slate Star Codex
"80,000 Hours"
"Personal Contact (e.g. friend, colleague, relative)"
Local or university EA group
Doing Good Better (Book)
GiveWell
Other (Book/article/blog post etc.)
"Personal Contact (e.g. friend, colleague, relative)"
EA Global
GiveWell
Other (Book/article/blog post etc.)
Facebook
TED Talk
The Life You Can Save (organization)
LessWrong
Other (Book/article/blog post etc.)
"Personal Contact (e.g. friend, colleague, relative)"
"80,000 Hours"
"80,000 Hours"
Search Engine
Other (Book/article/blog post etc.)
Other (Book/article/blog post etc.)
I don't remember
GiveWell
Other (Book/article/blog post etc.)
Local or university EA group
Other (Book/article/blog post etc.)
Other (Book/article/blog post etc.)
Local or university EA group
Other (Book/article/blog post etc.)
"Personal Contact (e.g. friend, colleague, relative)"
Giving What We Can
"80,000 Hours"
I don't remember
"Personal Contact (e.g. friend, colleague, relative)"
I don't remember
Local or university EA group
I don't remember
Search Engine
TED Talk
Other (Book/article/blog post etc.)
"80,000 Hours"
Other (Book/article/blog post etc.)
Other (Book/article/blog post etc.)
EA Global
Facebook
Other (Book/article/blog post etc.)
"Personal Contact (e.g. friend, colleague, relative)"
GiveWell
Other (Book/article/blog post etc.)
"Personal Contact (e.g. friend, colleague, relative)"
I don't remember
Doing Good Better (Book)
I don't remember
Local or university EA group
GiveWell
Giving What We Can
TED Talk
Search Engine
Other (Book/article/blog post etc.)
"Personal Contact (e.g. friend, colleague, relative)"
Facebook
I don't remember
Giving What We Can
Other (Book/article/blog post etc.)
Giving What We Can
Other (Book/article/blog post etc.)
"80,000 Hours"
Slate Star Codex
Facebook
"80,000 Hours"
Other (Book/article/blog post etc.)
Doing Good Better (Book)
Giving What We Can
I don't remember
I don't remember
I don't remember
"80,000 Hours"
"Personal Contact (e.g. friend, colleague, relative)"
"Personal Contact (e.g. friend, colleague, relative)"
Slate Star Codex
"Personal Contact (e.g. friend, colleague, relative)"
Other (Book/article/blog post etc.)
LessWrong
"Personal Contact (e.g. friend, colleague, relative)"
GiveWell
LessWrong
"Personal Contact (e.g. friend, colleague, relative)"
"80,000 Hours"
I don't remember
"Personal Contact (e.g. friend, colleague, relative)"
Other (Book/article/blog post etc.)
Search Engine
Local or university EA group
Local or university EA group
"80,000 Hours"
TED Talk
"80,000 Hours"
"Personal Contact (e.g. friend, colleague, relative)"
"Personal Contact (e.g. friend, colleague, relative)"
Slate Star Codex
Giving What We Can
Giving What We Can
"Personal Contact (e.g. friend, colleague, relative)"
LessWrong
Animal Charity Evaluators
EA Global
"Personal Contact (e.g. friend, colleague, relative)"
TED Talk
"80,000 Hours"
LessWrong
Other (Book/article/blog post etc.)
"80,000 Hours"
Search Engine
Other (Book/article/blog post etc.)
The Life You Can Save (organization)
Local or university EA group
TED Talk
Slate Star Codex
"Personal Contact (e.g. friend, colleague, relative)"
Local or university EA group
I don't remember
Search Engine
"Personal Contact (e.g. friend, colleague, relative)"
Other (Book/article/blog post etc.)
Giving What We Can
"Personal Contact (e.g. friend, colleague, relative)"
I don't remember
Other (Book/article/blog post etc.)
Local or university EA group
Animal Charity Evaluators
I don't remember
TED Talk
"Personal Contact (e.g. friend, colleague, relative)"
TED Talk
"80,000 Hours"
Slate Star Codex
"Personal Contact (e.g. friend, colleague, relative)"
Other (Book/article/blog post etc.)
"Personal Contact (e.g. friend, colleague, relative)"
Facebook
Other (Book/article/blog post etc.)
Local or university EA group
Facebook
TED Talk
Other (Book/article/blog post etc.)
Giving What We Can
Doing Good Better (Book)
Giving What We Can
Slate Star Codex
Other (Book/article/blog post etc.)
LessWrong
"Personal Contact (e.g. friend, colleague, relative)"
"80,000 Hours"
"Personal Contact (e.g. friend, colleague, relative)"
I don't remember
LessWrong
"80,000 Hours"
"Personal Contact (e.g. friend, colleague, relative)"
Giving What We Can
Doing Good Better (Book)
"80,000 Hours"
The Life You Can Save (organization)
LessWrong
EA Global
Local or university EA group
TED Talk
"80,000 Hours"
Local or university EA group
Slate Star Codex
I don't remember
I don't remember
TED Talk
EA Global
"Personal Contact (e.g. friend, colleague, relative)"
Other (Book/article/blog post etc.)
LessWrong
LessWrong
Other (Book/article/blog post etc.)
Local or university EA group
"80,000 Hours"
"Personal Contact (e.g. friend, colleague, relative)"
Other (Book/article/blog post etc.)
"Personal Contact (e.g. friend, colleague, relative)"
Other (Book/article/blog post etc.)
Other (Book/article/blog post etc.)
Facebook
Search Engine
"Personal Contact (e.g. friend, colleague, relative)"
"Personal Contact (e.g. friend, colleague, relative)"
Other (Book/article/blog post etc.)
Giving What We Can
Giving What We Can
I don't remember
"80,000 Hours"
"Personal Contact (e.g. friend, colleague, relative)"
Giving What We Can
"80,000 Hours"
I don't remember
Other (Book/article/blog post etc.)
I don't remember
Facebook
Other (Book/article/blog post etc.)
Slate Star Codex
Doing Good Better (Book)
"Personal Contact (e.g. friend, colleague, relative)"
I don't remember
"80,000 Hours"
LessWrong
Giving What We Can
Facebook
TED Talk
"Personal Contact (e.g. friend, colleague, relative)"
Other (Book/article/blog post etc.)
GiveWell
I don't remember
Other (Book/article/blog post etc.)
"Personal Contact (e.g. friend, colleague, relative)"
"80,000 Hours"
"80,000 Hours"
TED Talk
Giving What We Can
Slate Star Codex
Local or university EA group
Doing Good Better (Book)
Search Engine
Other (Book/article/blog post etc.)
LessWrong
I don't remember
Other (Book/article/blog post etc.)
"Personal Contact (e.g. friend, colleague, relative)"
LessWrong
I don't remember
"Personal Contact (e.g. friend, colleague, relative)"
TED Talk
TED Talk
GiveWell
Other (Book/article/blog post etc.)
Other (Book/article/blog post etc.)
"Personal Contact (e.g. friend, colleague, relative)"
I don't remember
LessWrong
Other (Book/article/blog post etc.)
"Personal Contact (e.g. friend, colleague, relative)"
Slate Star Codex
I don't remember
I don't remember
Doing Good Better (Book)
"Personal Contact (e.g. friend, colleague, relative)"
"Personal Contact (e.g. friend, colleague, relative)"
TED Talk
"Personal Contact (e.g. friend, colleague, relative)"
"Personal Contact (e.g. friend, colleague, relative)"
Other (Book/article/blog post etc.)
Slate Star Codex
Local or university EA group
"Personal Contact (e.g. friend, colleague, relative)"
Other (Book/article/blog post etc.)
TED Talk
LessWrong
Giving What We Can
LessWrong
LessWrong
The Life You Can Save (organization)
Other (Book/article/blog post etc.)
LessWrong
Slate Star Codex
I don't remember
Search Engine
"Personal Contact (e.g. friend, colleague, relative)"
Doing Good Better (Book)
"Personal Contact (e.g. friend, colleague, relative)"
Local or university EA group
GiveWell
"80,000 Hours"
Other (Book/article/blog post etc.)
Search Engine
"80,000 Hours"
Other (Book/article/blog post etc.)
"80,000 Hours"
LessWrong
Search Engine
TED Talk
"80,000 Hours"
"Personal Contact (e.g. friend, colleague, relative)"
Slate Star Codex
Giving What We Can
"80,000 Hours"
LessWrong
Local or university EA group
LessWrong
Other (Book/article/blog post etc.)
Slate Star Codex
I don't remember
Local or university EA group
Other (Book/article/blog post etc.)
Other (Book/article/blog post etc.)
Other (Book/article/blog post etc.)
Other (Book/article/blog post etc.)
REG / EAF / FRI / The Swiss group
GiveWell
I don't remember
"Personal Contact (e.g. friend, colleague, relative)"
GiveWell
Slate Star Codex
I don't remember
GiveWell
Giving What We Can
"Personal Contact (e.g. friend, colleague, relative)"
LessWrong
"Personal Contact (e.g. friend, colleague, relative)"
Facebook
"80,000 Hours"
LessWrong
Local or university EA group
LessWrong
GiveWell
GiveWell
Doing Good Better (Book)
LessWrong
Animal Charity Evaluators
Local or university EA group
Search Engine
Other (Book/article/blog post etc.)
The Life You Can Save (organization)
"Personal Contact (e.g. friend, colleague, relative)"
LessWrong
Local or university EA group
GiveWell
"Personal Contact (e.g. friend, colleague, relative)"
LessWrong
Doing Good Better (Book)
Animal Charity Evaluators
LessWrong
Slate Star Codex
"80,000 Hours"
LessWrong
Slate Star Codex
LessWrong
LessWrong
I don't remember
"Personal Contact (e.g. friend, colleague, relative)"
Doing Good Better (Book)
LessWrong
Doing Good Better (Book)
REG / EAF / FRI / The Swiss group
"Personal Contact (e.g. friend, colleague, relative)"
Local or university EA group
LessWrong
The Life You Can Save (organization)
Giving What We Can
Local or university EA group
"80,000 Hours"
LessWrong
"Personal Contact (e.g. friend, colleague, relative)"
"Personal Contact (e.g. friend, colleague, relative)"
The Life You Can Save (organization)
I don't remember
TED Talk
NA
Other (Book/article/blog post etc.)
Search Engine
"Personal Contact (e.g. friend, colleague, relative)"
"Personal Contact (e.g. friend, colleague, relative)"
GiveWell
I don't remember
Giving What We Can
I don't remember
"Personal Contact (e.g. friend, colleague, relative)"
Slate Star Codex
"80,000 Hours"
Search Engine
Other (Book/article/blog post etc.)
Facebook
Other (Book/article/blog post etc.)
Local or university EA group
LessWrong
GiveWell
Giving What We Can
TED Talk
"80,000 Hours"
LessWrong
TED Talk
"80,000 Hours"
"80,000 Hours"
I don't remember
NA
Other (Book/article/blog post etc.)
LessWrong
I don't remember
LessWrong
Slate Star Codex
Doing Good Better (Book)
Slate Star Codex
TED Talk
I don't remember
Other (Book/article/blog post etc.)
I don't remember
"Personal Contact (e.g. friend, colleague, relative)"
LessWrong
"Personal Contact (e.g. friend, colleague, relative)"
Other (Book/article/blog post etc.)
Giving What We Can
GiveWell
"80,000 Hours"
GiveWell
LessWrong
Other (Book/article/blog post etc.)
Other (Book/article/blog post etc.)
Giving What We Can
"Personal Contact (e.g. friend, colleague, relative)"
TED Talk
Local or university EA group
"80,000 Hours"
"Personal Contact (e.g. friend, colleague, relative)"
Other (Book/article/blog post etc.)
"80,000 Hours"
I don't remember
Other (Book/article/blog post etc.)
Local or university EA group
Other (Book/article/blog post etc.)
LessWrong
Other (Book/article/blog post etc.)
"Personal Contact (e.g. friend, colleague, relative)"
Doing Good Better (Book)
Local or university EA group
The Life You Can Save (organization)
I don't remember
The Life You Can Save (organization)
"Personal Contact (e.g. friend, colleague, relative)"
Other (Book/article/blog post etc.)
Slate Star Codex
"Personal Contact (e.g. friend, colleague, relative)"
Doing Good Better (Book)
I don't remember
Doing Good Better (Book)
Other (Book/article/blog post etc.)
"Personal Contact (e.g. friend, colleague, relative)"
Facebook
GiveWell
I don't remember
Other (Book/article/blog post etc.)
"80,000 Hours"
Other (Book/article/blog post etc.)
Search Engine
I don't remember
Local or university EA group
Local or university EA group
EA Global
"Personal Contact (e.g. friend, colleague, relative)"
I don't remember
"80,000 Hours"
EA Global
Other (Book/article/blog post etc.)
I don't remember
Other (Book/article/blog post etc.)
LessWrong
Other (Book/article/blog post etc.)
Other (Book/article/blog post etc.)
I don't remember
Local or university EA group
"80,000 Hours"
"Personal Contact (e.g. friend, colleague, relative)"
"80,000 Hours"
Giving What We Can
Slate Star Codex
Other (Book/article/blog post etc.)
"80,000 Hours"
Other (Book/article/blog post etc.)
The Life You Can Save (organization)
Local or university EA group
"Personal Contact (e.g. friend, colleague, relative)"
LessWrong
I don't remember
Other (Book/article/blog post etc.)
Search Engine
TED Talk
"Personal Contact (e.g. friend, colleague, relative)"
Giving What We Can
REG / EAF / FRI / The Swiss group
The Life You Can Save (organization)
"Personal Contact (e.g. friend, colleague, relative)"
LessWrong
"80,000 Hours"
"Personal Contact (e.g. friend, colleague, relative)"
"Personal Contact (e.g. friend, colleague, relative)"
Other (Book/article/blog post etc.)
TED Talk
Facebook
LessWrong
I don't remember
LessWrong
TED Talk
I don't remember
Slate Star Codex
"Personal Contact (e.g. friend, colleague, relative)"
LessWrong
"Personal Contact (e.g. friend, colleague, relative)"
I don't remember
"Personal Contact (e.g. friend, colleague, relative)"
Local or university EA group
LessWrong
Local or university EA group
Doing Good Better (Book)
Giving What We Can
"Personal Contact (e.g. friend, colleague, relative)"
"80,000 Hours"
"80,000 Hours"
Other (Book/article/blog post etc.)
"Personal Contact (e.g. friend, colleague, relative)"
"Personal Contact (e.g. friend, colleague, relative)"
Local or university EA group
Other (Book/article/blog post etc.)
"Personal Contact (e.g. friend, colleague, relative)"
Giving What We Can
"80,000 Hours"
Search Engine
Other (Book/article/blog post etc.)
"Personal Contact (e.g. friend, colleague, relative)"
"Personal Contact (e.g. friend, colleague, relative)"
"Personal Contact (e.g. friend, colleague, relative)"
I don't remember
Doing Good Better (Book)
GiveWell
"80,000 Hours"
"Personal Contact (e.g. friend, colleague, relative)"
Other (Book/article/blog post etc.)
Animal Charity Evaluators
Other (Book/article/blog post etc.)
"Personal Contact (e.g. friend, colleague, relative)"
I don't remember
"80,000 Hours"
"Personal Contact (e.g. friend, colleague, relative)"
LessWrong
Giving What We Can
"Personal Contact (e.g. friend, colleague, relative)"
Giving What We Can
TED Talk
LessWrong
LessWrong
LessWrong
"80,000 Hours"
"80,000 Hours"
"Personal Contact (e.g. friend, colleague, relative)"
"80,000 Hours"
TED Talk
Animal Charity Evaluators
Other (Book/article/blog post etc.)
Doing Good Better (Book)
Other (Book/article/blog post etc.)
TED Talk
"Personal Contact (e.g. friend, colleague, relative)"
TED Talk
"80,000 Hours"
"Personal Contact (e.g. friend, colleague, relative)"
"80,000 Hours"
Other (Book/article/blog post etc.)
"80,000 Hours"
"Personal Contact (e.g. friend, colleague, relative)"
Other (Book/article/blog post etc.)
"Personal Contact (e.g. friend, colleague, relative)"
"Personal Contact (e.g. friend, colleague, relative)"
Search Engine
Local or university EA group
I don't remember
Local or university EA group
LessWrong
The Life You Can Save (organization)
TED Talk
TED Talk
Other (Book/article/blog post etc.)
Other (Book/article/blog post etc.)
Other (Book/article/blog post etc.)
"Personal Contact (e.g. friend, colleague, relative)"
Other (Book/article/blog post etc.)
The Life You Can Save (organization)
Doing Good Better (Book)
LessWrong
TED Talk
"80,000 Hours"
"Personal Contact (e.g. friend, colleague, relative)"
Other (Book/article/blog post etc.)
"Personal Contact (e.g. friend, colleague, relative)"
LessWrong
"80,000 Hours"
Other (Book/article/blog post etc.)
I don't remember
I don't remember
"Personal Contact (e.g. friend, colleague, relative)"
Other (Book/article/blog post etc.)
"Personal Contact (e.g. friend, colleague, relative)"
I don't remember
Other (Book/article/blog post etc.)
Other (Book/article/blog post etc.)
"Personal Contact (e.g. friend, colleague, relative)"
"Personal Contact (e.g. friend, colleague, relative)"
Other (Book/article/blog post etc.)
Other (Book/article/blog post etc.)
TED Talk
"Personal Contact (e.g. friend, colleague, relative)"
Other (Book/article/blog post etc.)
"80,000 Hours"
Other (Book/article/blog post etc.)
TED Talk
"Personal Contact (e.g. friend, colleague, relative)"
EA Global
"80,000 Hours"
GiveWell
I don't remember
Other (Book/article/blog post etc.)
TED Talk
Slate Star Codex
Other (Book/article/blog post etc.)
TED Talk
Other (Book/article/blog post etc.)
Other (Book/article/blog post etc.)
Other (Book/article/blog post etc.)
"Personal Contact (e.g. friend, colleague, relative)"
Search Engine
"Personal Contact (e.g. friend, colleague, relative)"
Local or university EA group
I don't remember
Local or university EA group
Other (Book/article/blog post etc.)
Giving What We Can
"Personal Contact (e.g. friend, colleague, relative)"
"80,000 Hours"
"Personal Contact (e.g. friend, colleague, relative)"
The Life You Can Save (organization)
Other (Book/article/blog post etc.)
I don't remember
I don't remember
Other (Book/article/blog post etc.)
Other (Book/article/blog post etc.)
GiveWell
"80,000 Hours"
Other (Book/article/blog post etc.)
"80,000 Hours"
Doing Good Better (Book)
Doing Good Better (Book)
Facebook
Other (Book/article/blog post etc.)
"Personal Contact (e.g. friend, colleague, relative)"
